𐌰𐌲𐌻𐌾𐌰𐌽 	 aglɕen	agle 	ache	 hurt,damage
𐌰𐌷𐌾𐌰𐌽 	 aḫɕen	aḫe 		 think,assume
𐌰𐌹𐌲𐌰𐌽 	 aιgen	aιge 	eigen, eignen	 possess,own
𐌰𐌹𐌷𐌰𐌽 	 aιḫen	aιḫe 	own	 
𐌰𐌹𐌷𐍄𐍂𐍉𐌽 	 aιḫtren	aιḫtre 	achten?	 pray,request,supplicate
𐌰𐌹𐍂𐌶𐌾𐌰𐌽 	 aιrzɕen	aιrshe 	~urge	 delude,mislead
𐌰𐌹𐍂𐌹𐌽𐍉𐌽 	 aιrιnen	aιrιne 	air:envoy	 ambassador,representative,oldwikisource:Gothic Bible in Ulfilan Gothic Script#V. 6|2 Corinthians 5:20,oldwikisource:Gothic Bible in Ulfilan Gothic Script#VI. 8|Ephesians 6:20
𐌰𐌹𐍃𐍄𐌰𐌽 	 aιsten	aιste 	√eye	 regard,reverence
𐌰𐌹𐍅𐌰𐌲𐌲𐌴𐌻𐌾𐌰𐌽 	 aιwengelɕen	aιvangele 	evangel…	 preach,gospel
𐌰𐌹𐍅𐌹𐍃𐌺𐍉𐌽 	 aιweschen	aιvιshe 	aisch!	 shameful,unseemly,oldwikisource:Gothic Bible in Ulfilan Gothic Script#XIII. 4|1 Corinthians 13:4-7
𐌰𐌻𐌰𐌽 	 alen	ale 	a'leng?	 grow,nourish
𐌰𐌻𐌾𐌰𐌻𐌴𐌹𐌺𐍉𐌽 	 alɕaleιken	alɕaleιke 	allegoric	 differently,differ,allegorical
𐌰𐌻𐌾𐌰𐌽 	 alɕen	ale 		 eagerness,zeal,cause,grow,fat,fatten
𐌰𐌻𐌾𐌰𐌽𐍉𐌽 	 alɕanen	alɕane 		 zealous,strive
𐌰𐌽𐌰𐌰𐌿𐌺𐌰𐌽 	 angeøken	enauke 	an.ge.augment	 add,augment
𐌰𐌽𐌰𐌱𐌹𐌿𐌳𐌰𐌽 	 angebeuden	enbιude 	angebieten	 command,instruct,order
