 № 	English 	Best match	Aryan		Telugu 	Tamil 	Malayalam 	Kannada 	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!	Elamite 	Elamite OK?	Brahui	Baluchi/Shind/Persian!!	Tulu 	Gondi 	Konda-Dora 
1	I 	నేను (/neːnu/)	an’e / nous	~++	నేను (/neːnu/) 	நான் (/nɑːɳ/) 	ഞാൻ (/ɲaːn/), അടിയൻ (/aʈijan/) (servile; archaic; from foot+I) 	ನಾನು (/nɑːnu/) 	"(𓈖𓏏) 𓅱 𓇋 𓀀,  𓇋, 	𓍢 𓇋 , 𓏌𓎡𓍢 "	u, hu	✓	    ای/iː/	I, kan- egon 𓏌𓎡𓍢 	 	 	 
2	you (singular) 	నీవు (/niːvu/)	an’ vous  / 你 nǐ 	~++	నువ్వు (/nuvːu/), నీవు (/niːvu/) 	நீ (/niː/) 	നീ (/n̪iː/), താൻ (/t̪aːn/) (polite, familiar; from self), താങ്കൾ (/t̪aːŋkaɭ/) (polite, formal; from self+plural), അങ്ങ് (/aŋŋɨ̆/) (honorific; archaic; from there) നമ്മൾ (/n̪ammaɭ/) (honorific; from inclusive we) 	ನೀನು (/niːnu/) 	(𓈖𓏏) 𓎡, 𓏏𓍢, 𓏏𓅱, 𓏏𓈖, 𓈖𓏏 𓏏, 𓈖𓏏 𓍿𓈖𓏥, 𓍿𓈖𓏮, 𓏏𓅱𓎡, 𓏏𓅱𓍿𓈖𓏥	ni, nu	✓	نی/niː/	nǐ 你	 	 	 
3	he 	అతడు (/at̪aɽu/) వాడు (/vɑːɽu/) 	ante’ er/lui 𓇓𓅱𓏏   hver ander der	~+++	అతడు (/at̪aɽu/), అతను (/at̪anu/) వాడు (/vɑːɽu/) వారు (/vɑːru/) 	அவன் (avaṉ) 	അവൻ (/aʋan/) (distal), ഇവൻ (/iʋan/) (proximal), അയാൾ (/ajaːɭ/) (distal), ഇയാൾ (/ijaːɭ/) (proximal), അങ്ങേര് (/aŋŋeːɾɨ̆/) (distal; colloquial), ഇങ്ങേര് (/iŋŋeːɾɨ̆/) (proximal; colloquial) 	ಅವನು (avanu) 	(𓈖𓏏) 𓇓𓅱, 𓇓𓅱𓏏, 𓆑, 𓊪𓈖	e	✓	اوō	he, ho	 	 	 
4	we 	ನಾವು (nāvu)	Nove nous mir man! 	~+++	మేము (/meːmu/) (exclusive) మనము (/manamu/) (inclusive) நாம் (nām) நாங்கள் (nāṅkaḷ) 	നമ്മൾ (/n̪ammaɭ/) (inclusive), ഞങ്ങൾ (/ɲaŋŋaɭ/) (exclusive), നാം (/n̪aːm/) 	ನಾವು (nāvu) 	 	(𓈖𓏏) 𓈖𓏥 ನಾವು nāvu , 𓇋𓏌𓈖𓏥, 𓇋𓀁𓈖𓈖𓏥 మనము manamu	ni-ka	✓✓ nāṅkaḷ	nan	nous	 	 	نن (nan)
5	you (plural) 	తమరు (/tamaru/)	𓏏𓈖𓏥 TaMaru Du→mir ninkal 𓍿𓈖𓏤𓏤𓏤	~++!	మీరు (/miːru/) (plural/honorific) తమరు (/tamaru/) (plural/honorific) நீங்கள் (nīṅkaḷ) 	നിങ്ങൾ (/n̪iŋŋaɭ/) 	ನೀವು (neevu) 	 	(𓈖𓏏) 𓏏𓈖𓏥, 𓈖𓏏 𓏏𓈖𓏥, 𓍿𓈖𓏤𓏤𓏤					 	 	نُم (num)
6	they	അവർ (/aʋar/)	𓅱𓏥 Eux ^^ er	ok?	അവർ (/aʋar/) (distal), ഇവർ (/iʋar/) (proximal), അവന്മാർ (/aʋanmaːr/) (distal; masc.), ഇവന്മാർ (/iʋanmaːr/) (proximal; masc.), അവളുമ്മാർ (/aʋaɭummaːr/) (distal; fem.), ഇവളുമ്മാർ (/iʋaɭummaːr/) (proximal; fem.), അവറ്റകൾ (/aʋarrakaɭ/) (distal), ഇവറ്റകൾ (/iʋarrakaɭ/) (proximal) 	ಅವರು (avaru) 	 	 	(𓈖𓏏) 𓊃𓈖, 𓋴𓈖𓏥, 𓈖𓏥, 𓈖𓏮, 𓅱𓏥, 𓋴𓏪, 𓋴𓏏𓏥	ap	✓/2 aʋar		MOST words borrowed from 	 		
7	this 	ఇది (/idi/)	'die[s] itt@turk	~+	ఇది (/idi/) 	இது (itu) 	ഈ (/iː/), ഇ- (/i-/), ഇത് (/it̪ɨ̆/) (thing/fact) 	ಇದು (idu) 	𓏏𓄿, 𓏏𓅱, 𓏏𓅱𓇋𓇋, 𓏏𓈖, 𓍿𓈖, 𓅮, 𓅮𓄿, 𓇑𓇑, 𓇑𓇑𓈖, 𓈖𓄿, 𓉐, 𓊪𓅮𓄿, 𓊪𓅱, 𓊪𓅱𓇋𓇋, 𓊪𓈖	hu, hi	✓ iː dhi	daː 	die (da)	 	 	 
8	that 	అది (/adi/)	'dai[s] ott@turk that	~+	అది (/adi/) 	அது (/at̪ɨ̆/) 	ആ (/aː/), അ- (/a-/), അത് (/at̪ɨ̆/) (thing/fact) 	ಅದು (adu) 	𓏏𓆑𓄿,𓏏𓆑,𓏏𓅱,𓏏𓅱𓇋𓇋,𓈖𓆑,𓊪𓅱𓇋𓇋,𓊪𓆑𓏮,𓊪𓆑𓄿𓈐,	ak-ka	✓ adga ~ adu	eː ~ heː (1) / oː		 	 	 
9	here 	ఇక్కడ (/ikːaɽa/) ఇచ్చట (/icːaʈa/)	ici.da <> where ahere, enci 𓈖𓏏 இங்கே iṅkē	~+	ఇక్కడ (/ikːaɽa/) ఇచ్చట (/icːaʈa/) ఈడ (/iːɽa/) இங்கே (iṅkē) 	ഇവിടെ (/iʋiʈe/), ഇങ്ങ് (/iŋŋɨ̆/) 	ಇಲ್ಲಿ (illi), ಇದರಲ್ಲಿ (idaralli) 	 	𓈖𓄿, 𓂧 𓏮 𓈐, 𓉻 𓂝 𓈐, 𓉻 𓂝 𓄿 𓇋𓇋 𓈐	a-ḫa, i-ma	✓ akhar ~ ikːaɽa			 	 	
